Item Name (Algorithm Template),Packet Variable Name,HDF5 Variable Name(s)
"HVPSHKADCCHAN01","IDX__TXHDRHVPSHKCH01","/{event}/Metadata/packed/IDX__TXHDRHVPSHKCH01; /{event}/Metadata/unpacked/IDX__TXHDRHVPSHKCH01"
"HVPSHKADCCHAN23","IDX__TXHDRHVPSHKCH23","/{event}/Metadata/packed/IDX__TXHDRHVPSHKCH23; /{event}/Metadata/unpacked/IDX__TXHDRHVPSHKCH23"
"HVPSHKADCCHAN45","IDX__TXHDRHVPSHKCH45","/{event}/Metadata/packed/IDX__TXHDRHVPSHKCH45; /{event}/Metadata/unpacked/IDX__TXHDRHVPSHKCH45"
"HVPSHKADCCHAN67","IDX__TXHDRHVPSHKCH67","/{event}/Metadata/packed/IDX__TXHDRHVPSHKCH67; /{event}/Metadata/unpacked/IDX__TXHDRHVPSHKCH67"
"LVPSHKADC0CHAN01","IDX__TXHDRLVHK0CH01","/{event}/Metadata/packed/IDX__TXHDRLVHK0CH01; /{event}/Metadata/unpacked/IDX__TXHDRLVHK0CH01"
"LVPSHKADC0CHAN23","IDX__TXHDRLVHK0CH23","/{event}/Metadata/packed/IDX__TXHDRLVHK0CH23; /{event}/Metadata/unpacked/IDX__TXHDRLVHK0CH23"
"LVPSHKADC0CHAN45","IDX__TXHDRLVHK0CH45","/{event}/Metadata/packed/IDX__TXHDRLVHK0CH45; /{event}/Metadata/unpacked/IDX__TXHDRLVHK0CH45"
"LVPSHKADC0CHAN67","IDX__TXHDRLVHK0CH67","/{event}/Metadata/packed/IDX__TXHDRLVHK0CH67; /{event}/Metadata/unpacked/IDX__TXHDRLVHK0CH67"
"LVPSHKADC1CHAN01","IDX__TXHDRLVHK1CH01","/{event}/Metadata/packed/IDX__TXHDRLVHK1CH01; /{event}/Metadata/unpacked/IDX__TXHDRLVHK1CH01"
"LVPSHKADC1CHAN23","IDX__TXHDRLVHK1CH23","/{event}/Metadata/packed/IDX__TXHDRLVHK1CH23; /{event}/Metadata/unpacked/IDX__TXHDRLVHK1CH23"
"LVPSHKADC1CHAN45","IDX__TXHDRLVHK1CH45","/{event}/Metadata/packed/IDX__TXHDRLVHK1CH45; /{event}/Metadata/unpacked/IDX__TXHDRLVHK1CH45"
"LVPSHKADC1CHAN67","IDX__TXHDRLVHK1CH67","/{event}/Metadata/packed/IDX__TXHDRLVHK1CH67; /{event}/Metadata/unpacked/IDX__TXHDRLVHK1CH67"
"LVPSHKADC2CHAN01","IDX__TXHDRLVHK2CH01","/{event}/Metadata/packed/IDX__TXHDRLVHK2CH01; /{event}/Metadata/unpacked/IDX__TXHDRLVHK2CH01"
"LVPSHKADC2CHAN23","IDX__TXHDRLVHK2CH23","/{event}/Metadata/packed/IDX__TXHDRLVHK2CH23; /{event}/Metadata/unpacked/IDX__TXHDRLVHK2CH23"
"LVPSHKADC2CHAN45","IDX__TXHDRLVHK2CH45","/{event}/Metadata/packed/IDX__TXHDRLVHK2CH45; /{event}/Metadata/unpacked/IDX__TXHDRLVHK2CH45"
"LVPSHKADC2CHAN67","IDX__TXHDRLVHK2CH67","/{event}/Metadata/packed/IDX__TXHDRLVHK2CH67; /{event}/Metadata/unpacked/IDX__TXHDRLVHK2CH67"
"PROCHKADCCHAN01","IDX__TXHDRPROCHKCH01","/{event}/Metadata/packed/IDX__TXHDRPROCHKCH01; /{event}/Metadata/unpacked/IDX__TXHDRPROCHKCH01"
"PROCHKADCCHAN23","IDX__TXHDRPROCHKCH23","/{event}/Metadata/packed/IDX__TXHDRPROCHKCH23; /{event}/Metadata/unpacked/IDX__TXHDRPROCHKCH23"
"PROCHKADCCHAN45","IDX__TXHDRPROCHKCH45","/{event}/Metadata/packed/IDX__TXHDRPROCHKCH45; /{event}/Metadata/unpacked/IDX__TXHDRPROCHKCH45"
"PROCHKADCCHAN67","IDX__TXHDRPROCHKCH67","/{event}/Metadata/packed/IDX__TXHDRPROCHKCH67; /{event}/Metadata/unpacked/IDX__TXHDRPROCHKCH67"
