eventnum,SCI0Time32_seconds,utc_datetime
imap_idex_l0_raw_20251130_v002/1,502156921,2025-11-30T00:02:01.356661Z
imap_idex_l0_raw_20251130_v002/10,502157009,2025-11-30T00:03:29.172056Z
imap_idex_l0_raw_20251130_v002/11,501642849,2025-11-24T01:14:09.951989Z
imap_idex_l0_raw_20251130_v002/12,501675164,2025-11-24T10:12:44.179890Z
imap_idex_l0_raw_20251130_v002/13,501694012,2025-11-24T15:26:52.108842Z
imap_idex_l0_raw_20251130_v002/14,501704909,2025-11-24T18:28:29.445813Z
imap_idex_l0_raw_20251130_v002/15,501768781,2025-11-25T12:13:01.545412Z
imap_idex_l0_raw_20251130_v002/16,501779548,2025-11-25T15:12:28.292626Z
imap_idex_l0_raw_20251130_v002/17,501780695,2025-11-25T15:31:35.684382Z
imap_idex_l0_raw_20251130_v002/18,501819036,2025-11-26T02:10:36.604603Z
imap_idex_l0_raw_20251130_v002/19,501855186,2025-11-26T12:13:06.552647Z
imap_idex_l0_raw_20251130_v002/2,502156927,2025-11-30T00:02:07.702788Z
imap_idex_l0_raw_20251130_v002/20,501858320,2025-11-26T13:05:20.281196Z
imap_idex_l0_raw_20251130_v002/21,501884691,2025-11-26T20:24:51.851509Z
imap_idex_l0_raw_20251130_v002/22,501888808,2025-11-26T21:33:28.810434Z
imap_idex_l0_raw_20251130_v002/23,501913178,2025-11-27T04:19:38.147386Z
imap_idex_l0_raw_20251130_v002/24,501934767,2025-11-27T10:19:27.221321Z
imap_idex_l0_raw_20251130_v002/25,501953022,2025-11-27T15:23:42.309057Z
imap_idex_l0_raw_20251130_v002/26,501953408,2025-11-27T15:30:08.193960Z
imap_idex_l0_raw_20251130_v002/27,501955843,2025-11-27T16:10:43.603926Z
imap_idex_l0_raw_20251130_v002/28,501959821,2025-11-27T17:17:01.941991Z
imap_idex_l0_raw_20251130_v002/29,501977219,2025-11-28T21:23:56.726200Z
imap_idex_l0_raw_20251130_v002/3,502156935,2025-11-30T00:02:15.611776Z
imap_idex_l0_raw_20251130_v002/30,501999395,2025-11-28T22:28:41.346840Z
imap_idex_l0_raw_20251130_v002/31,502010513,2025-11-28T07:21:53.863621Z
imap_idex_l0_raw_20251130_v002/32,502052725,2025-11-28T19:05:25.390155Z
imap_idex_l0_raw_20251130_v002/33,502055890,2025-11-28T19:58:10.362052Z
imap_idex_l0_raw_20251130_v002/34,502056814,2025-11-28T20:13:34.474549Z
imap_idex_l0_raw_20251130_v002/35,502058998,2025-11-28T20:49:58.641966Z
imap_idex_l0_raw_20251130_v002/36,502073604,2025-11-29T00:53:24.150063Z
imap_idex_l0_raw_20251130_v002/37,502083201,2025-11-29T03:33:21.802185Z
imap_idex_l0_raw_20251130_v002/38,502114129,2025-11-29T12:08:49.962823Z
imap_idex_l0_raw_20251130_v002/39,502114159,2025-11-29T12:09:19.255287Z
imap_idex_l0_raw_20251130_v002/4,502156943,2025-11-30T00:02:23.637905Z
imap_idex_l0_raw_20251130_v002/40,502153036,2025-11-29T22:57:16.716859Z
imap_idex_l0_raw_20251130_v002/5,502156951,2025-11-30T00:02:31.999862Z
imap_idex_l0_raw_20251130_v002/6,502156959,2025-11-30T00:02:39.532642Z
imap_idex_l0_raw_20251130_v002/7,502156973,2025-11-30T00:02:53.923040Z
imap_idex_l0_raw_20251130_v002/8,502156985,2025-11-30T00:03:05.138833Z
imap_idex_l0_raw_20251130_v002/9,502156997,2025-11-30T00:03:17.702097Z
imap_idex_l0_raw_20251209_v002/1,502934521,2025-12-09T00:02:01.402959Z
imap_idex_l0_raw_20251209_v002/10,502934609,2025-12-09T00:03:29.324426Z
imap_idex_l0_raw_20251209_v002/100,502819061,2025-12-07T15:57:41.367712Z
imap_idex_l0_raw_20251209_v002/101,502819685,2025-12-07T16:08:05.577679Z
imap_idex_l0_raw_20251209_v002/102,502820245,2025-12-07T16:17:25.743827Z
imap_idex_l0_raw_20251209_v002/103,502823815,2025-12-07T17:16:55.849673Z
imap_idex_l0_raw_20251209_v002/104,502824102,2025-12-07T17:21:42.927747Z
imap_idex_l0_raw_20251209_v002/105,502824120,2025-12-07T17:22:00.334277Z
imap_idex_l0_raw_20251209_v002/106,502825517,2025-12-07T17:45:17.731335Z
imap_idex_l0_raw_20251209_v002/107,502827784,2025-12-07T18:23:04.498393Z
imap_idex_l0_raw_20251209_v002/108,502829375,2025-12-07T18:49:35.911475Z
imap_idex_l0_raw_20251209_v002/109,502829694,2025-12-07T18:54:54.406468Z
imap_idex_l0_raw_20251209_v002/11,502264436,2025-12-01T05:53:56.743360Z
imap_idex_l0_raw_20251209_v002/110,502829778,2025-12-07T18:56:18.767205Z
imap_idex_l0_raw_20251209_v002/111,502830395,2025-12-07T19:06:35.956943Z
imap_idex_l0_raw_20251209_v002/112,502833514,2025-12-07T19:58:34.234840Z
imap_idex_l0_raw_20251209_v002/113,502834185,2025-12-07T20:09:45.244297Z
imap_idex_l0_raw_20251209_v002/114,502835493,2025-12-07T20:31:33.209821Z
imap_idex_l0_raw_20251209_v002/115,502835566,2025-12-07T20:32:46.611042Z
imap_idex_l0_raw_20251209_v002/116,502835719,2025-12-07T20:35:19.606719Z
imap_idex_l0_raw_20251209_v002/117,502837209,2025-12-07T21:00:09.497064Z
imap_idex_l0_raw_20251209_v002/118,502838022,2025-12-07T21:13:42.930393Z
imap_idex_l0_raw_20251209_v002/119,502841406,2025-12-07T22:10:06.708121Z
imap_idex_l0_raw_20251209_v002/12,502272870,2025-12-01T08:14:30.950068Z
imap_idex_l0_raw_20251209_v002/120,502841948,2025-12-07T22:19:08.975920Z
imap_idex_l0_raw_20251209_v002/121,502842614,2025-12-07T22:30:14.772621Z
imap_idex_l0_raw_20251209_v002/122,502843450,2025-12-07T22:44:10.986001Z
imap_idex_l0_raw_20251209_v002/123,502845237,2025-12-07T23:13:57.126657Z
imap_idex_l0_raw_20251209_v002/124,502848437,2025-12-08T00:07:17.705948Z
imap_idex_l0_raw_20251209_v002/125,502849262,2025-12-08T00:21:02.793220Z
imap_idex_l0_raw_20251209_v002/126,502850592,2025-12-08T00:43:12.791726Z
imap_idex_l0_raw_20251209_v002/127,502851226,2025-12-08T00:53:46.758119Z
imap_idex_l0_raw_20251209_v002/128,502852417,2025-12-08T01:13:37.998315Z
imap_idex_l0_raw_20251209_v002/129,502854840,2025-12-08T01:54:00.477079Z
imap_idex_l0_raw_20251209_v002/13,502302354,2025-12-01T16:25:54.355352Z
imap_idex_l0_raw_20251209_v002/130,502855162,2025-12-08T01:59:22.205980Z
imap_idex_l0_raw_20251209_v002/131,502855343,2025-12-08T02:02:23.588933Z
imap_idex_l0_raw_20251209_v002/132,502857912,2025-12-08T02:45:12.431108Z
imap_idex_l0_raw_20251209_v002/133,502858248,2025-12-08T02:50:48.183802Z
imap_idex_l0_raw_20251209_v002/134,502863445,2025-12-08T04:17:25.685039Z
imap_idex_l0_raw_20251209_v002/135,502863773,2025-12-08T04:22:53.744152Z
imap_idex_l0_raw_20251209_v002/136,502863785,2025-12-08T04:23:05.446565Z
imap_idex_l0_raw_20251209_v002/137,502865495,2025-12-08T04:51:35.200626Z
imap_idex_l0_raw_20251209_v002/138,502865621,2025-12-08T04:53:41.909627Z
imap_idex_l0_raw_20251209_v002/139,502866305,2025-12-08T05:05:05.133291Z
imap_idex_l0_raw_20251209_v002/14,502336024,2025-12-02T01:47:04.882341Z
imap_idex_l0_raw_20251209_v002/140,502866424,2025-12-08T05:07:04.260994Z
imap_idex_l0_raw_20251209_v002/141,502868980,2025-12-08T05:49:40.675952Z
imap_idex_l0_raw_20251209_v002/142,502872611,2025-12-08T06:50:11.189394Z
imap_idex_l0_raw_20251209_v002/143,502872734,2025-12-08T06:52:14.825932Z
imap_idex_l0_raw_20251209_v002/144,502875377,2025-12-08T07:36:17.449592Z
imap_idex_l0_raw_20251209_v002/145,502879648,2025-12-08T08:47:28.124976Z
imap_idex_l0_raw_20251209_v002/146,502885570,2025-12-08T10:26:10.537930Z
imap_idex_l0_raw_20251209_v002/147,502886345,2025-12-08T10:39:05.379082Z
imap_idex_l0_raw_20251209_v002/148,502887018,2025-12-08T10:50:18.436752Z
imap_idex_l0_raw_20251209_v002/149,502892495,2025-12-08T12:21:35.912456Z
imap_idex_l0_raw_20251209_v002/15,502419941,2025-12-03T01:05:41.791418Z
imap_idex_l0_raw_20251209_v002/150,502893099,2025-12-08T12:31:39.715535Z
imap_idex_l0_raw_20251209_v002/151,502895002,2025-12-08T13:03:22.441101Z
imap_idex_l0_raw_20251209_v002/152,502897208,2025-12-08T13:40:08.651179Z
imap_idex_l0_raw_20251209_v002/16,502433239,2025-12-03T04:47:19.452435Z
imap_idex_l0_raw_20251209_v002/17,502449388,2025-12-03T09:16:28.127738Z
imap_idex_l0_raw_20251209_v002/18,502459207,2025-12-03T12:00:07.943681Z
imap_idex_l0_raw_20251209_v002/19,502462239,2025-12-03T12:50:39.242243Z
imap_idex_l0_raw_20251209_v002/2,502934527,2025-12-09T00:02:07.957100Z
imap_idex_l0_raw_20251209_v002/20,502465200,2025-12-03T13:40:00.294032Z
imap_idex_l0_raw_20251209_v002/21,502477665,2025-12-03T17:07:45.712375Z
imap_idex_l0_raw_20251209_v002/22,502489573,2025-12-03T20:26:13.181779Z
imap_idex_l0_raw_20251209_v002/23,502500436,2025-12-03T23:27:16.986645Z
imap_idex_l0_raw_20251209_v002/24,502505441,2025-12-04T00:50:41.753312Z
imap_idex_l0_raw_20251209_v002/25,502528457,2025-12-04T07:14:17.305110Z
imap_idex_l0_raw_20251209_v002/26,502552258,2025-12-04T13:50:58.208000Z
imap_idex_l0_raw_20251209_v002/27,502553916,2025-12-04T14:18:36.852027Z
imap_idex_l0_raw_20251209_v002/28,502556645,2025-12-04T15:04:05.929350Z
