eventnum,SCI0Time32
imap_idex_l0_raw_20251130_v002.h5/1,502156921
imap_idex_l0_raw_20251130_v002.h5/10,502157009
imap_idex_l0_raw_20251130_v002.h5/11,501642849
imap_idex_l0_raw_20251130_v002.h5/12,501675164
imap_idex_l0_raw_20251130_v002.h5/13,501694012
imap_idex_l0_raw_20251130_v002.h5/14,501704909
imap_idex_l0_raw_20251130_v002.h5/15,501768781
imap_idex_l0_raw_20251130_v002.h5/16,501779548
imap_idex_l0_raw_20251130_v002.h5/17,501780695
imap_idex_l0_raw_20251130_v002.h5/18,501819036
imap_idex_l0_raw_20251130_v002.h5/19,501855186
imap_idex_l0_raw_20251130_v002.h5/2,502156927
imap_idex_l0_raw_20251130_v002.h5/20,501858320
imap_idex_l0_raw_20251130_v002.h5/21,501884691
imap_idex_l0_raw_20251130_v002.h5/22,501888808
imap_idex_l0_raw_20251130_v002.h5/23,501913178
imap_idex_l0_raw_20251130_v002.h5/24,501934767
imap_idex_l0_raw_20251130_v002.h5/25,501953022
imap_idex_l0_raw_20251130_v002.h5/26,501953408
imap_idex_l0_raw_20251130_v002.h5/27,501955843
imap_idex_l0_raw_20251130_v002.h5/28,501959821
imap_idex_l0_raw_20251130_v002.h5/29,501977219
imap_idex_l0_raw_20251130_v002.h5/3,502156935
imap_idex_l0_raw_20251130_v002.h5/30,501999395
imap_idex_l0_raw_20251130_v002.h5/31,502010513
imap_idex_l0_raw_20251130_v002.h5/32,502052725
imap_idex_l0_raw_20251130_v002.h5/33,502055890
imap_idex_l0_raw_20251130_v002.h5/34,502056814
imap_idex_l0_raw_20251130_v002.h5/35,502058998
imap_idex_l0_raw_20251130_v002.h5/36,502073604
imap_idex_l0_raw_20251130_v002.h5/37,502083201
imap_idex_l0_raw_20251130_v002.h5/38,502114129
imap_idex_l0_raw_20251130_v002.h5/39,502114159
imap_idex_l0_raw_20251130_v002.h5/4,502156943
imap_idex_l0_raw_20251130_v002.h5/40,502153036
imap_idex_l0_raw_20251130_v002.h5/5,502156951
imap_idex_l0_raw_20251130_v002.h5/6,502156959
imap_idex_l0_raw_20251130_v002.h5/7,502156973
imap_idex_l0_raw_20251130_v002.h5/8,502156985
imap_idex_l0_raw_20251130_v002.h5/9,502156997
imap_idex_l0_raw_20251209_v002.h5/1,502934521
imap_idex_l0_raw_20251209_v002.h5/10,502934609
imap_idex_l0_raw_20251209_v002.h5/100,502819061
imap_idex_l0_raw_20251209_v002.h5/101,502819685
imap_idex_l0_raw_20251209_v002.h5/102,502820245
imap_idex_l0_raw_20251209_v002.h5/103,502823815
imap_idex_l0_raw_20251209_v002.h5/104,502824102
imap_idex_l0_raw_20251209_v002.h5/105,502824120
imap_idex_l0_raw_20251209_v002.h5/106,502825517
imap_idex_l0_raw_20251209_v002.h5/107,502827784
imap_idex_l0_raw_20251209_v002.h5/108,502829375
