timestamp,Instrument state
2025-10-01T16:39:23.562000,on
2025-10-01T16:49:55.014000,off
2025-11-04T14:39:42.579000,on
2025-11-04T14:51:34.027000,off
2025-11-06T20:23:29.662000,on
2025-11-06T20:36:29.015000,off
2025-11-06T20:49:44.647000,on
2025-11-06T21:06:21.099000,off
2025-11-24T00:30:15.102000,on
2025-12-06T18:17:30.026000,off
2025-12-09T00:00:00.944000,off
2025-12-09T00:01:28.603000,on
2025-12-09T00:03:32.943000,off
2025-12-11T00:00:00.229000,off
2025-12-11T00:02:14.888000,on
2025-12-18T16:53:38.527000,off
2025-12-27T00:00:00.552000,off
2025-12-27T00:02:15.211000,on
2026-01-05T01:30:09.028000,off
