timeGps (yyyy-D-'T'HH:mm:ss),type,message,filename
2025-274-T16:19:57,EM,"2010/001-00:00:01.814 UPK boot fsw says hello, version=02.00.0000",f25_oct_01_16_19_30.event_messages
2025-274-T16:20:03,EM,"2010/001-00:00:01.813 MEM FLASH UErr FOUND, PARAM=0x000000d2",f25_oct_01_16_19_30.event_messages
2025-274-T16:24:14,EM,"2025/274-16:24:05.921 UPK oper fsw says hello, version=02.00.0000",f25_oct_01_16_19_30.event_messages
2025-274-T16:24:19,EM,"2025/274-16:24:06.317 SEQ success (len=0x0580, opCodeLCDictionary(dualcmd))",f25_oct_01_16_19_30.event_messages
2025-274-T16:24:21,EM,"2025/274-16:24:07.317 SEQ success (len=0x0580, opCodeLCDictionary(rawwrt))",f25_oct_01_16_19_30.event_messages
2025-274-T16:24:23,EM,"2025/274-16:24:07.317 SEQ engine has changed state, eng=seqEngineDictionary(AUTO) was=seqEngineStateDictionary(ACTIV) is=seqEngineStateDictionary(IDLE) 0x00",f25_oct_01_16_19_30.event_messages
2025-274-T16:27:17,EM,2025/274-16:27:09.114 AUT hvps state changed to hvStateDictionary(STANDBY),f25_oct_01_16_19_30.event_messages
2025-274-T16:29:26,EM,2025/274-16:29:18.112 AUT hvps state changed to hvStateDictionary(RAMPUP),f25_oct_01_16_19_30.event_messages
2025-274-T16:29:31,EM,2025/274-16:29:19.112 AUT hvps state changed to hvStateDictionary(ACTIVE),f25_oct_01_16_19_30.event_messages
2025-274-T16:30:14,EM,2025/274-16:30:06.111 AUT hvps state changed to hvStateDictionary(RAMPUP),f25_oct_01_16_29_38.event_messages
2025-274-T16:30:17,EM,2025/274-16:30:07.111 AUT hvps state changed to hvStateDictionary(ACTIVE),f25_oct_01_16_29_38.event_messages
2025-274-T16:30:59,EM,2025/274-16:30:51.110 AUT hvps state changed to hvStateDictionary(RAMPUP),f25_oct_01_16_29_38.event_messages
2025-274-T16:31:01,EM,2025/274-16:30:52.110 AUT hvps state changed to hvStateDictionary(ACTIVE),f25_oct_01_16_29_38.event_messages
2025-274-T16:31:44,EM,2025/274-16:31:36.110 AUT hvps state changed to hvStateDictionary(RAMPUP),f25_oct_01_16_29_38.event_messages
2025-274-T16:31:47,EM,2025/274-16:31:37.110 AUT hvps state changed to hvStateDictionary(ACTIVE),f25_oct_01_16_29_38.event_messages
2025-274-T16:38:08,EM,"2025/274-16:37:57.303 SEQ success (len=0x0580, opCodeLCDictionary(noop))",f25_oct_01_16_29_38.event_messages
