Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8349311,20230725001452.135000000,20230724181452.135000000,1690244092135,3.253970E+4,8.310273E-19,2.001370E-16,2.931639E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349317,20230725001739.228000000,20230724181739.228000000,1690244259228,2.373870E+4,2.000411E-18,2.564000E-16,3.928967E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349323,20230725002111.583000000,20230724182111.583000000,1690244471583,1.388180E+4,6.745643E-18,2.956650E-16,5.891779E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349325,20230725002114.641999999,20230724182114.641999999,1690244474642,1.092330E+4,8.592212E-18,2.333140E-16,6.386658E-8,2.197063E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349328,20230725002142.412999999,20230724182142.412999999,1690244502413,2.332450E+4,1.595274E-18,1.973990E-16,3.643486E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349330,20230725002210.594999999,20230724182210.594999999,1690244530595,1.380650E+4,7.858881E-18,3.407320E-16,6.199532E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349332,20230725002215.824999999,20230724182215.824999999,1690244535825,1.032360E+4,5.943033E-17,1.440640E-15,1.216862E-7,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349333,20230725002237.712999999,20230724182237.712999999,1690244557713,2.211570E+4,1.739183E-18,1.934780E-16,3.749906E-8,2.198294E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349336,20230725002338.697999999,20230724182338.697999999,1690244618698,2.377740E+4,1.720692E-18,2.213910E-16,3.736569E-8,2.197063E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349338,20230725002352.640000000,20230724182352.640000000,1690244632640,2.059220E+4,3.431609E-18,3.311550E-16,4.703321E-8,2.197063E+0," IDEX "," 2023_07_24_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
