Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8543758,20231213193120.712000000,20231213123120.712000000,1702495880712,2.237100E+3,8.839451E-17,1.007320E-16,1.389037E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8543759,20231213193131.356000000,20231213123131.356000000,1702495891356,5.798530E+3,1.985296E-15,1.519110E-14,3.919047E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543761,20231213193200.117000000,20231213123200.117000000,1702495920117,4.822360E+3,1.712843E-16,9.064940E-16,1.731721E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543764,20231213193211.674000000,20231213123211.674000000,1702495931674,2.298460E+3,2.767108E-16,3.326810E-16,2.031955E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543767,20231213193222.609000000,20231213123222.609000000,1702495942609,3.820180E+3,1.117874E-16,3.714770E-16,1.502114E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543768,20231213193224.177000000,20231213123224.177000000,1702495944177,3.273690E+3,1.285906E-16,3.138020E-16,1.573893E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543770,20231213193227.554000000,20231213123227.554000000,1702495947554,1.259140E+4,5.975623E-18,2.157260E-16,5.658479E-8,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543782,20231213193336.427000000,20231213123336.427000000,1702496016427,4.297780E+3,4.048314E-17,1.701730E-16,1.070689E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543785,20231213193343.445999999,20231213123343.445999999,1702496023446,1.814540E+4,1.400062E-17,1.049080E-15,7.515441E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543789,20231213193406.646999999,20231213123406.646999999,1702496046647,2.630420E+3,1.732270E-16,2.729210E-16,1.738243E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543790,20231213193409.466000000,20231213123409.466000000,1702496049466,3.961220E+3,1.142618E-16,4.082540E-16,1.513117E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
