XML Item Name,Type,Description
TXHDRSciEvtLen,U32,"Length of raw science data in memory including this FPGA pre-pended metadata header but excludes the sync words at the start of all Flash pages."
TXHDRSP00,U16,"Padded with 0’s"
TXHDRTIMESEC1,U16,"Time of event trigger, integer seconds (bits 31:16)"
TXHDRTIMESEC2,U16,"Time of event trigger, integer seconds (bits 15:0)"
TXHDRTIMESUBS,U16,"Time of event trigger, sub-seconds (20 usec per DN)"
TXHDRSP01,U1,"Padded with 0"
TXHDRTRIGOFFSET,U3,"Trigger offset: number of WCLK cycles that the start of post-trigger data collection is delayed from the trigger position"
TXHDRSP02,U2,"Padded with 0’s"
TXHDRTRIGID,U10,"Trigger ID: upper 4 bits spare; bit5 external; bit4 SW; bit3 LS ADC1; bit2 HS ADC1Q; bit1 HS ADC0Q; bit0 HS ADC0I"
TXHDREVTNUM,U16,"Event number assigned by FPGA"
TXHDRBLOCKS_HS_ERROR,U1,"HS Blocks Error – total HS blocks > 16"
TXHDRBLOCKS_LS_ERROR,U1,"LS Blocks Error – total LS blocks > 64"
TXHDRBLOCKS_DEAD_BASE,U6,"Dead Blocks Base (0–63)"
TXHDRBLOCKS_DEAD_SHIFT,U4,"Dead Blocks Shift (0–15)"
TXHDRBLOCKS_HS_PRE,U4,"HS Pre Blocks (1–16)"
TXHDRBLOCKS_HS_POST,U4,"HS Post Blocks (1–64)"
TXHDRBLOCKS_LS_PRE,U6,"LS Pre Blocks (1–64)"
TXHDRBLOCKS_LS_POST,U6,"LS Post Blocks (1–64)"
TXHDRHGTRIGCTRL1_LEVEL,U10,"ADC0I trigger level"
TXHDRHGTRIGCTRL1_NMAX12,U11,"ADC0I Nmax12"
TXHDRHGTRIGCTRL1_NMIN12,U11,"ADC0I Nmin12"
TXHDRHGTRIGCTRL2_NMAX2,U8,"ADC0I Nmax2"
TXHDRHGTRIGCTRL2_NMIN2,U8,"ADC0I Nmin2"
TXHDRHGTRIGCTRL2_NMAX1,U8,"ADC0I Nmax1"
TXHDRHGTRIGCTRL2_NMIN1,U8,"ADC0I Nmin1"
TXHDRLGTRIGCTRL1_LEVEL,U10,"ADC0Q trigger level"
TXHDRLGTRIGCTRL1_NMAX12,U11,"ADC0Q Nmax12"
TXHDRLGTRIGCTRL1_NMIN12,U11,"ADC0Q Nmin12"
TXHDRLGTRIGCTRL2_NMAX2,U8,"ADC0Q Nmax2"
TXHDRLGTRIGCTRL2_NMIN2,U8,"ADC0Q Nmin2"
TXHDRLGTRIGCTRL2_NMAX1,U8,"ADC0Q Nmax1"
TXHDRLGTRIGCTRL2_NMIN1,U8,"ADC0Q Nmin1"
TXHDRMGTRIGCTRL1_LEVEL,U10,"ADC1Q trigger level"
TXHDRMGTRIGCTRL1_NMAX12,U11,"ADC1Q Nmax12"
TXHDRMGTRIGCTRL1_NMIN12,U11,"ADC1Q Nmin12"
TXHDRMGTRIGCTRL2_NMAX2,U8,"ADC1Q Nmax2"
TXHDRMGTRIGCTRL2_NMIN2,U8,"ADC1Q Nmin2"
TXHDRMGTRIGCTRL2_NMAX1,U8,"ADC1Q Nmax1"
TXHDRMGTRIGCTRL2_NMIN1,U8,"ADC1Q Nmin1"
TXHDRSP03,U8,"Padded with 0’s"
TXHDRLSADC_COINC_BLOCKS,U3,"Coincidence mode blocks"
TXHDRLSADC_POLARITY,U1,"LS ADC1 trigger polarity"
TXHDRLSADC_LEVEL,U12,"LS ADC1 trigger level"
TXHDRLSADC_NMIN,U8,"LS ADC1 trigger Nmin"
TXHDRPOLSTAT,U1,"HVPS polarity status"
TXHDRSP04,U22,"Padded with 0’s"
TXHDRPOLCTRL,U1,"External trigger polarity"
TXHDRCOINENA,U1,"LS ADC coincidence enable"
TXHDRLSTRIGMODE,U1,"LS ADC trigger enable"
TXHDRMGTRIGMODE,U2,"ADC1Q trigger mode"
TXHDRLGTRIGMODE,U2,"ADC0Q trigger mode"
TXHDRHGTRIGMODE,U2,"ADC0I trigger mode"
TXHDRSP05,U32,"Padded with 0’s"
TXHDRSP06,U32,"Padded with 0’s"
TXHDRSP07,U32,"Padded with 0’s"
TXHDRSP08,U32,"Padded with 0’s"
TXHDRTOFMAX_PAD,U2,"Padded with 0’s"
TXHDRTOFMAX_ADC1Q,U10,"ADC1Q max value"
TXHDRTOFMAX_ADC0Q,U10,"ADC0Q max value"
TXHDRTOFMAX_ADC0I,U10,"ADC0I max value"
TXHDRTOFMIN_PAD,U2,"Padded with 0’s"
TXHDRTOFMIN_ADC1Q,U10,"ADC1Q min value"
TXHDRTOFMIN_ADC0Q,U10,"ADC0Q min value"
TXHDRTOFMIN_ADC0I,U10,"ADC0I min value"
TXHDRLS0MAXMIN_PAD,U8,"Padded with 0’s"
TXHDRLS0MAXMIN_MAX,U12,"LS ADC0 max"
TXHDRLS0MAXMIN_MIN,U12,"LS ADC0 min"
TXHDRLS1MAXMIN_PAD,U8,"Padded with 0’s"
TXHDRLS1MAXMIN_MAX,U12,"LS ADC1 max"
TXHDRLS1MAXMIN_MIN,U12,"LS ADC1 min"
TXHDRLS2MAXMIN_PAD,U8,"Padded with 0’s"
TXHDRLS2MAXMIN_MAX,U12,"LS ADC2 max"
TXHDRLS2MAXMIN_MIN,U12,"LS ADC2 min"
TXHDRFIFODELAY_PAD,U2,"Padded with 0’s"
TXHDRFIFODELAY_ADC1Q,U10,"ADC1Q FIFO delay"
TXHDRFIFODELAY_ADC0Q,U10,"ADC0Q FIFO delay"
TXHDRFIFODELAY_ADC0I,U10,"ADC0I FIFO delay"
TXHDRSAMPDELAY_PAD,U2,"Padded with 0’s"
TXHDRSAMPDELAY_ADC1Q,U10,"ADC1Q sample delay"
TXHDRSAMPDELAY_ADC0Q,U10,"ADC0Q sample delay"
TXHDRSAMPDELAY_ADC0I,U10,"ADC0I sample delay"
TXHDRTRANSCNT_PAD,U2,"Padded with 0’s"
TXHDRTRANSCNT_ADC1Q,U10,"ADC1Q transition count"
TXHDRTRANSCNT_ADC0Q,U10,"ADC0Q transition count"
