Mass,Name
1.008,H
2.016,H2
12,C
13.019,CH
16,O
18.015,H2O
19.023,H3O
22.99,Na
23.985,Mg24
24.986,Mg25
25.983,Mg26
26.016,C2H2
26.982,Al
27.977,Si28
28.976,Si29
29.062,C2H5
29.974,Si30
37.038,H5O2
39.056,K39
39.963,Ca40
40.962,K41
41.959,Ca42
43.955,Ca44
47.998,Mass 48
53.94,Fe54
53.964,Al2
55.053,H7O3
55.935,Fe56
57.933,Fe58
64.0,Mass 64
69.963,Al2O
73.068,H9O4
91.083,H11O5
106.905,Ag107
107.868,Ag
108.876,AgH
108.905,Ag109
109.098,H13O6
123.867,AgO
124.875,AgOH
125.883,AgH2O
193.963,Pt194
194.964,Pt195
195.084,Pt
195.965,Pt196
196.092,PtH
196.967,Au
197.967,Pt198
197.975,AuH
211.083,PtO
212.091,PtOH
212.966,AuO
213.099,PtH2O
213.974,AuOH
214.982,AuH2O
215.736,Ag2
216.744,Ag2H
231.735,Ag2O
232.743,Ag2OH
233.751,Ag2H2O
390.168,Pt2
391.176,Pt2H
393.934,Au2
394.942,Au2H
406.167,Pt2O
407.175,Pt2OH
408.183,Pt2H2O
409.933,Au2O
410.941,Au2OH
411.949,Au2H2O
