time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-357T02:38:37.845,,523.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:38:38.845,2001.4632,,,,,,,,,,
2025-357T02:38:43.845,2001.4632,,,,,,,,,,
2025-357T02:38:46.845,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:38:49.845,2001.4632,,,,,,,,,,
2025-357T02:38:55.845,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:38:56.845,2001.4632,,,,,,,,,,
2025-357T02:39:01.845,2001.4632,,,,,,,,,,
2025-357T02:39:04.845,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:39:07.845,2001.4632,,,,,,,,,,
2025-357T02:39:13.845,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:39:14.845,2001.4632,,,,,,,,,,
2025-357T02:39:19.845,2001.4632,,,,,,,,,,
2025-357T02:39:22.845,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:39:25.845,2001.4632,,,,,,,,,,
2025-357T02:39:31.845,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:39:32.845,2001.4632,,,,,,,,,,
2025-357T02:39:37.845,2001.4632,,,,,,,,,,
2025-357T02:39:40.845,,523.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:39:43.845,2001.4632,,,,,,,,,,
2025-357T02:39:49.845,,523.0,499.0,518.0,509.0,516.0,510.0,2048.0,2039.0,2066.0,2061.0
2025-357T02:39:50.845,2001.4632,,,,,,,,,,
2025-357T02:39:55.844,2001.4632,,,,,,,,,,
2025-357T02:39:58.845,,523.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:40:01.844,2001.4632,,,,,,,,,,
2025-357T02:40:07.845,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:40:08.844,2001.4632,,,,,,,,,,
2025-357T02:40:13.844,2001.4632,,,,,,,,,,
2025-357T02:40:16.845,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:40:19.844,2001.4632,,,,,,,,,,
2025-357T02:40:25.845,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:40:26.844,2001.4632,,,,,,,,,,
2025-357T02:40:31.844,2001.4632,,,,,,,,,,
2025-357T02:40:34.845,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:40:37.844,2001.4632,,,,,,,,,,
2025-357T02:40:43.845,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:40:44.844,2001.4632,,,,,,,,,,
2025-357T02:40:49.844,2001.4632,,,,,,,,,,
2025-357T02:40:52.844,,567.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:40:55.844,2001.4632,,,,,,,,,,
2025-357T02:41:01.844,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:41:02.844,2001.4632,,,,,,,,,,
2025-357T02:41:07.844,2001.4632,,,,,,,,,,
2025-357T02:41:10.844,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:41:13.844,2001.4632,,,,,,,,,,
2025-357T02:41:19.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:41:20.844,2001.4632,,,,,,,,,,
2025-357T02:41:25.844,2001.4632,,,,,,,,,,
2025-357T02:41:28.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:41:31.844,2001.4632,,,,,,,,,,
2025-357T02:41:37.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:41:38.844,2001.4632,,,,,,,,,,
2025-357T02:41:43.844,2001.4632,,,,,,,,,,
2025-357T02:41:46.844,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:41:49.844,2001.4632,,,,,,,,,,
2025-357T02:41:55.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:41:56.844,2001.4632,,,,,,,,,,
2025-357T02:42:01.844,2001.4632,,,,,,,,,,
2025-357T02:42:04.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:42:07.844,2001.4632,,,,,,,,,,
2025-357T02:42:13.844,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:42:14.844,2001.4632,,,,,,,,,,
2025-357T02:42:19.844,2001.4632,,,,,,,,,,
2025-357T02:42:22.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:42:25.844,2001.4632,,,,,,,,,,
2025-357T02:42:31.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:42:32.843,2001.4632,,,,,,,,,,
2025-357T02:42:37.843,2001.4632,,,,,,,,,,
2025-357T02:42:40.844,,532.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:42:43.843,2001.4632,,,,,,,,,,
2025-357T02:42:49.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:42:50.843,2001.4632,,,,,,,,,,
2025-357T02:42:55.843,2001.4632,,,,,,,,,,
2025-357T02:42:58.844,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:43:01.843,2001.4632,,,,,,,,,,
2025-357T02:43:07.844,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:43:08.843,2001.4632,,,,,,,,,,
2025-357T02:43:13.843,2001.4632,,,,,,,,,,
2025-357T02:43:16.844,,524.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:43:19.843,2001.4632,,,,,,,,,,
2025-357T02:43:25.844,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:43:26.843,2001.4632,,,,,,,,,,
2025-357T02:43:31.843,2001.4632,,,,,,,,,,
2025-357T02:43:34.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:43:37.843,2001.4632,,,,,,,,,,
2025-357T02:43:43.843,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:43:44.843,2001.4632,,,,,,,,,,
2025-357T02:43:49.843,2001.4632,,,,,,,,,,
2025-357T02:43:52.843,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:43:55.843,2001.4632,,,,,,,,,,
2025-357T02:44:01.843,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:44:02.843,2001.4632,,,,,,,,,,
2025-357T02:44:07.843,2001.4632,,,,,,,,,,
2025-357T02:44:10.843,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:44:13.843,2001.4632,,,,,,,,,,
2025-357T02:44:19.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:44:20.843,2001.4632,,,,,,,,,,
2025-357T02:44:25.843,2001.4632,,,,,,,,,,
2025-357T02:44:28.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:44:31.843,2001.4632,,,,,,,,,,
2025-357T02:44:37.843,,529.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:44:38.843,2001.4632,,,,,,,,,,
2025-357T02:44:43.843,2001.4632,,,,,,,,,,
2025-357T02:44:46.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:44:49.843,2001.4632,,,,,,,,,,
2025-357T02:44:55.843,,530.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:44:56.843,2001.4632,,,,,,,,,,
2025-357T02:45:01.843,2001.4632,,,,,,,,,,
2025-357T02:45:04.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:45:07.842,2001.4632,,,,,,,,,,
2025-357T02:45:13.843,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:45:14.842,2001.4632,,,,,,,,,,
2025-357T02:45:19.842,2001.4632,,,,,,,,,,
2025-357T02:45:22.843,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:45:25.842,2001.4632,,,,,,,,,,
2025-357T02:45:31.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:45:32.842,2001.4632,,,,,,,,,,
2025-357T02:45:37.842,2001.4632,,,,,,,,,,
2025-357T02:45:40.843,,535.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:45:43.842,2001.4632,,,,,,,,,,
2025-357T02:45:49.843,,525.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:45:50.842,2001.4632,,,,,,,,,,
2025-357T02:45:55.842,2001.4632,,,,,,,,,,
2025-357T02:45:58.843,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:46:01.842,2001.4632,,,,,,,,,,
2025-357T02:46:07.842,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:46:08.842,2001.4632,,,,,,,,,,
2025-357T02:46:13.842,2001.4632,,,,,,,,,,
2025-357T02:46:16.842,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:46:19.842,2001.4632,,,,,,,,,,
2025-357T02:46:25.842,,535.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:46:26.842,2001.4632,,,,,,,,,,
2025-357T02:46:31.842,2001.4632,,,,,,,,,,
2025-357T02:46:34.842,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:46:37.842,2001.4632,,,,,,,,,,
2025-357T02:46:43.842,,524.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:46:44.842,2001.4632,,,,,,,,,,
2025-357T02:46:49.842,2001.4632,,,,,,,,,,
2025-357T02:46:52.842,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:46:55.842,2001.4632,,,,,,,,,,
2025-357T02:47:01.842,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:47:02.842,2001.4632,,,,,,,,,,
2025-357T02:47:07.842,2001.4632,,,,,,,,,,
2025-357T02:47:10.842,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:47:13.842,2001.4632,,,,,,,,,,
2025-357T02:47:19.842,,524.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:47:20.842,2001.4632,,,,,,,,,,
2025-357T02:47:25.842,2001.4632,,,,,,,,,,
2025-357T02:47:28.842,,529.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:47:31.842,2001.4632,,,,,,,,,,
