time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-342T23:58:31.965,,544.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T23:58:32.965,2001.4632,,,,,,,,,,
2025-342T23:58:37.965,2001.4632,,,,,,,,,,
2025-342T23:58:40.965,,537.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T23:58:43.965,2001.4632,,,,,,,,,,
2025-342T23:58:49.965,,550.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T23:58:50.965,2001.4632,,,,,,,,,,
2025-342T23:58:55.965,2001.4632,,,,,,,,,,
2025-342T23:58:58.965,,526.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T23:59:01.965,2001.4632,,,,,,,,,,
2025-342T23:59:07.965,,531.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-342T23:59:08.964,2001.4632,,,,,,,,,,
2025-342T23:59:13.964,2001.4632,,,,,,,,,,
2025-342T23:59:16.965,,537.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-342T23:59:19.964,2001.4632,,,,,,,,,,
2025-342T23:59:25.965,,533.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T23:59:26.964,2001.4632,,,,,,,,,,
2025-342T23:59:31.964,2001.4632,,,,,,,,,,
2025-342T23:59:34.965,,536.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-342T23:59:37.964,2001.4632,,,,,,,,,,
2025-342T23:59:43.965,,530.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-342T23:59:44.964,2001.4632,,,,,,,,,,
2025-342T23:59:49.964,2001.4632,,,,,,,,,,
2025-342T23:59:52.965,,532.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-342T23:59:55.964,2001.4632,,,,,,,,,,
2025-343T00:00:01.964,,539.0,500.0,518.0,509.0,516.0,510.0,2048.0,2039.0,2067.0,2061.0
2025-343T00:00:02.964,2001.4632,,,,,,,,,,
2025-343T00:00:07.964,2001.4632,,,,,,,,,,
2025-343T00:00:10.964,,526.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T00:00:16.964,,532.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T00:00:22.964,,533.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
